GR72-010	010
GR72-020	020
GR72-040	040
GR72-050	050
GR72-060	060
GR72-070	070
GR72-080	080
GR72-090	090
GR72-100	100
GR72-110	110
GR72-120	120
GR72-130	130
GR72-140	140
GR72-160	160
GR72-170	170
GR72-180	180
GR72-190	190
GR72-200	200
GR72-210	210
GR72-220	220
GR72-230	230
GR72-240	240
GR72-250	250
GR72-260	260
GR72-270	270
GR72-280	280
GR72-290	290
GR72-320	320
GR72-330	330
GR72-340	340
GR72-360	360
GR72-370	370
GR72-380	380
GR72-390	390
GR72-400	400
GR72-410	410
GR72-420	420
GR72-440	440
GR72-450	450
GR72-460	460
GR72-470	470
GR72-480	480
GR72-490	490
GR72-500	500
GR72-520	520
GR72-530	530
GR72-550	550
GR72-560	560
GR72-570	570
GR72-580	580
GR72-590	590
GR72-600	600
GR72-610	610
GR72-620	620
GR72-630	630
GR72-650	650
GR72-660	660
GR72-670	670
GR72-680	680
GR72-690	690
GR72-710	710
GR72-720	720
GR72-730	730
GR72-750	750
GR72-760	760
GR72-770	770
GR72-780	780
GR72-800	800
GR72-810	810
GR72-820	820
GR72-830	830
GR72-840	840
